time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0297126770019531,2,9,15,16,0,6,13,14,14,1630,23.32,73.98,65.11
2.14955735206604,0,0,0,0,0,0,0,0,0,1630,22.50,72.50,58.37
3.1727206707000732,0,0,0,0,0,0,0,0,0,1630,22.50,72.50,58.34
4.196415185928345,0,0,0,0,0,0,0,0,0,1630,22.50,72.50,58.34
5.220147609710693,1,1,1,1,6,6,6,6,6,280,22.50,72.51,58.34
6.243469715118408,1,1,1,1,5,6,6,6,6,280,22.50,72.51,58.33
7.2675065994262695,1,1,1,1,5,6,6,6,6,280,22.50,72.50,58.34
8.27651309967041,1,1,1,1,5,6,6,6,6,280,22.50,72.50,58.34
9.299663782119751,1,1,1,1,5,6,6,6,6,280,22.50,72.50,58.33
10.322892189025879,1,1,1,1,5,6,6,6,6,423,22.50,72.50,58.33
11.346697807312012,1,1,1,1,5,6,6,6,6,423,22.50,72.50,58.33
12.3706636428833,1,1,1,1,5,6,6,6,6,484,22.50,72.51,58.32
13.379665613174438,1,1,1,1,5,5,5,5,5,484,22.50,72.51,58.32
14.402826309204102,1,1,1,1,5,5,5,5,5,484,22.50,72.51,58.32
15.426181554794312,1,1,1,1,4,5,5,5,5,484,22.51,72.51,58.32
16.435150623321533,1,1,1,1,4,5,5,5,5,484,22.50,72.51,58.32
17.45836067199707,1,1,1,1,4,5,5,5,5,484,22.50,72.50,58.32
18.48172163963318,1,1,1,1,4,4,4,4,4,484,22.50,72.50,58.33
19.50535297393799,1,1,1,1,4,4,4,4,4,484,22.49,72.49,58.33
20.529212713241577,1,1,1,1,3,4,4,4,4,484,22.49,72.49,58.34
21.538444995880127,0,1,1,1,3,4,4,4,4,484,22.49,72.49,58.34
22.561605215072632,0,0,0,0,3,4,4,4,4,484,22.49,72.48,58.35
23.584875345230103,0,0,0,0,3,3,3,3,3,484,22.49,72.49,58.35
24.608361959457397,0,0,0,0,3,3,3,3,3,484,22.49,72.48,58.35
25.617300748825073,0,0,0,0,3,3,3,3,3,450,22.49,72.48,58.35
26.640401601791382,4,10,14,15,18,28,33,34,34,797,22.48,72.47,58.37
27.663938760757446,10,24,34,37,41,65,78,81,81,893,22.48,72.47,58.39
28.687760829925537,15,34,48,51,64,99,116,120,120,889,22.48,72.47,58.39
29.711729764938354,20,45,65,69,87,133,157,162,163,921,22.49,72.48,58.36
30.73561954498291,25,61,89,95,101,164,198,205,206,983,22.49,72.48,58.36
31.744643926620483,34,80,116,124,139,222,266,274,276,991,22.49,72.49,58.35
32.767844915390015,41,100,146,156,165,268,324,336,337,1008,22.50,72.49,58.35
33.79131054878235,49,119,174,185,196,319,385,399,401,1016,22.50,72.50,58.33
34.81477093696594,57,139,203,215,227,370,448,463,465,1020,22.50,72.50,58.33
35.8239631652832,62,152,222,236,249,406,491,508,510,1023,22.51,72.51,58.33
36.8471257686615,69,170,248,263,277,451,546,565,568,1038,22.51,72.51,58.33
37.870535135269165,92,228,333,354,367,601,729,755,759,1040,22.51,72.52,58.32
38.89426827430725,96,238,348,370,382,627,761,787,791,1039,22.51,72.52,58.32
39.90329122543335,100,247,361,384,395,649,788,816,820,1037,22.51,72.52,58.31
40.92670035362244,105,260,380,404,414,681,827,857,861,1053,22.51,72.52,58.31
41.95017194747925,110,273,400,426,435,716,870,901,905,1041,22.51,72.51,58.33
42.97359585762024,114,281,412,438,450,739,897,929,934,1022,22.51,72.51,58.33
43.98263597488403,116,287,420,447,457,752,914,946,951,1047,22.50,72.51,58.33
45.00602316856384,118,293,429,457,462,764,929,962,967,1056,22.50,72.51,58.34
46.029258728027344,119,297,435,462,466,771,939,972,977,1039,22.50,72.51,58.34
47.053053855895996,121,301,441,469,473,782,953,987,992,1030,22.50,72.50,58.34
48.07664632797241,123,306,449,478,480,795,968,1003,1008,1037,22.50,72.51,58.34
49.08580470085144,125,313,459,488,489,810,988,1023,1028,1046,22.51,72.51,58.34
50.10923433303833,130,325,477,507,509,843,1027,1064,1069,1049,22.50,72.50,58.35
51.132763147354126,137,341,501,533,533,884,1077,1116,1122,1059,22.50,72.50,58.35
52.15639019012451,141,353,518,552,547,910,1111,1151,1157,1075,22.51,72.51,58.34
53.180153369903564,144,362,532,566,558,931,1137,1178,1184,1074,22.50,72.51,58.34
54.20350480079651,147,369,542,577,567,947,1157,1199,1205,1069,22.51,72.51,58.34
55.22729754447937,149,377,554,589,576,964,1179,1222,1228,1081,22.51,72.52,58.33
56.23658323287964,153,385,566,602,590,986,1205,1249,1255,1047,22.51,72.52,58.31
57.2597336769104,157,396,582,619,602,1009,1235,1280,1287,1071,22.52,72.54,58.30
58.28310990333557,159,403,593,631,608,1023,1254,1300,1307,1083,22.53,72.55,58.26
59.30672740936279,161,409,603,642,613,1034,1269,1316,1323,1080,22.53,72.56,58.27
60.33054184913635,163,416,612,652,622,1049,1288,1336,1343,1072,22.53,72.56,58.26
61.3397376537323,166,422,622,662,628,1062,1305,1354,1361,1078,22.53,72.55,58.27
62.362935066223145,168,429,632,673,635,1076,1323,1372,1380,1083,22.53,72.55,58.29
63.38635206222534,171,437,645,686,647,1097,1349,1399,1407,1067,22.53,72.55,58.28
64.40983080863953,174,445,656,698,661,1119,1375,1426,1433,1054,22.53,72.55,58.29
65.41910028457642,179,457,673,716,676,1146,1409,1461,1469,1074,22.53,72.55,58.27
66.4423713684082,184,469,692,737,694,1177,1448,1502,1510,1064,22.53,72.56,58.27
67.46568298339844,186,477,703,748,705,1196,1470,1525,1533,1072,22.53,72.56,58.26
68.48913097381592,193,494,729,776,729,1237,1522,1579,1588,1082,22.53,72.56,58.26
69.49844694137573,199,508,749,798,750,1273,1566,1624,1633,1066,22.53,72.56,58.26
70.52165579795837,202,515,759,808,766,1296,1593,1652,1660,1043,22.53,72.56,58.27
71.54501152038574,204,518,762,811,782,1315,1612,1671,1679,1017,22.54,72.56,58.26
72.5685625076294,207,521,765,814,800,1335,1632,1691,1699,1010,22.54,72.56,58.26
73.57779455184937,211,528,775,824,819,1362,1662,1722,1730,1022,22.53,72.56,58.26
74.60095977783203,216,539,791,842,842,1397,1703,1764,1773,1015,22.54,72.57,58.25
75.6242778301239,219,546,800,850,860,1421,1730,1791,1800,1013,22.54,72.57,58.25
76.63321805000305,223,554,811,863,873,1442,1756,1818,1827,1034,22.54,72.57,58.25
77.65639281272888,229,568,832,885,900,1484,1804,1868,1878,1021,22.54,72.57,58.25
78.67988562583923,234,581,850,904,924,1521,1848,1914,1923,1026,22.53,72.56,58.27
79.70340728759766,239,592,866,921,946,1554,1887,1954,1964,1018,22.53,72.56,58.26
80.71258044242859,250,616,901,958,992,1625,1971,2040,2051,1006,22.53,72.56,58.27
81.73595547676086,256,632,925,984,1012,1662,2018,2089,2099,1034,22.53,72.56,58.27
82.7594735622406,260,647,948,1008,1024,1689,2054,2127,2138,1047,22.53,72.55,58.28
83.78298497200012,264,656,961,1022,1036,1710,2081,2155,2165,1034,22.53,72.55,58.28
84.8065857887268,267,662,969,1030,1049,1729,2103,2177,2188,1017,22.53,72.55,58.28
85.81549668312073,270,669,980,1042,1066,1754,2131,2207,2218,1016,22.53,72.55,58.30
86.83892703056335,273,676,989,1052,1082,1776,2157,2233,2244,1013,22.53,72.55,58.30
87.86245274543762,277,687,1006,1070,1088,1793,2181,2259,2270,1060,22.52,72.54,58.30
88.88602614402771,279,696,1020,1085,1092,1808,2202,2280,2292,1066,22.53,72.55,58.30
89.9096839427948,281,705,1034,1100,1095,1820,2220,2300,2311,1084,22.53,72.56,58.29
90.91889977455139,285,714,1048,1114,1105,1839,2245,2326,2337,1061,22.54,72.56,58.28
91.94225215911865,289,723,1062,1129,1122,1866,2277,2359,2371,1046,22.54,72.57,58.27
92.96578311920166,295,741,1088,1157,1143,1905,2327,2411,2423,1066,22.54,72.58,58.26
93.9893729686737,299,752,1105,1175,1156,1929,2357,2443,2455,1062,22.55,72.59,58.24
95.01313972473145,302,759,1116,1187,1165,1945,2378,2465,2477,1061,22.55,72.60,58.23
96.03690648078918,304,764,1122,1193,1174,1959,2394,2481,2494,1051,22.56,72.60,58.23
97.06054496765137,309,776,1140,1213,1197,1995,2437,2525,2538,1030,22.55,72.60,58.24
98.0842592716217,322,808,1186,1262,1247,2078,2538,2629,2643,1038,22.56,72.60,58.24
99.09352469444275,339,851,1250,1330,1314,2189,2674,2770,2784,1053,22.56,72.60,58.24
100.11686968803406,357,897,1318,1402,1380,2302,2814,2916,2930,1075,22.56,72.60,58.24
101.1403124332428,368,930,1367,1454,1418,2374,2905,3011,3026,1071,22.56,72.61,58.23
102.1638412475586,376,949,1396,1486,1443,2419,2961,3070,3086,1054,22.56,72.61,58.21
103.18760585784912,379,960,1412,1502,1452,2439,2988,3098,3114,1054,22.56,72.62,58.21
104.21132588386536,381,968,1425,1516,1451,2446,3002,3113,3129,1064,22.56,72.62,58.21
105.22058749198914,382,976,1439,1532,1446,2450,3012,3125,3141,1090,22.57,72.62,58.21
106.24372434616089,383,981,1446,1540,1446,2455,3020,3133,3150,1086,22.57,72.62,58.21
107.26708555221558,384,984,1453,1546,1444,2456,3025,3138,3155,1073,22.57,72.62,58.21
108.27599334716797,385,989,1460,1554,1444,2461,3033,3147,3163,1078,22.56,72.61,58.22
109.29928827285767,385,991,1462,1557,1446,2465,3037,3152,3168,1066,22.56,72.61,58.23
110.32261848449707,386,991,1463,1557,1452,2471,3044,3158,3175,1050,22.56,72.61,58.23
111.34626460075378,387,990,1460,1553,1463,2481,3051,3165,3182,1051,22.56,72.60,58.23
112.37001919746399,388,988,1456,1549,1475,2491,3059,3172,3189,1037,22.56,72.60,58.24
113.39381122589111,389,983,1446,1539,1497,2508,3070,3182,3199,997,22.55,72.60,58.24
114.40301084518433,392,984,1445,1537,1519,2531,3090,3202,3218,1005,22.56,72.60,58.24
115.42622637748718,396,988,1449,1541,1545,2561,3121,3233,3249,1004,22.56,72.60,58.24
116.44956541061401,400,998,1464,1557,1562,2588,3154,3267,3284,1034,22.56,72.60,58.25
117.4585394859314,404,1009,1480,1574,1579,2616,3188,3302,3319,1040,22.55,72.59,58.26
118.48171591758728,409,1023,1501,1597,1596,2648,3228,3344,3361,1049,22.55,72.59,58.26
119.50509333610535,418,1047,1537,1634,1623,2699,3294,3413,3430,1049,22.54,72.58,58.29
120.52875471115112,423,1059,1555,1654,1642,2732,3334,3454,3471,1044,22.54,72.57,58.30
121.5378406047821,427,1070,1571,1671,1657,2757,3366,3487,3505,1045,22.54,72.56,58.32
122.56101655960083,435,1088,1597,1699,1693,2812,3430,3553,3571,1026,22.53,72.56,58.32
123.58458232879639,445,1114,1635,1739,1732,2877,3510,3636,3654,1040,22.53,72.55,58.34
124.60813522338867,465,1159,1700,1808,1817,3008,3665,3796,3815,1015,22.52,72.53,58.36
125.61714267730713,472,1172,1718,1827,1853,3058,3721,3853,3872,1018,22.51,72.52,58.39
126.64038753509521,479,1185,1735,1845,1890,3108,3776,3909,3929,1014,22.51,72.51,58.40
127.6637933254242,484,1197,1752,1863,1910,3141,3815,3950,3969,1041,22.51,72.51,58.40
128.68728518486023,488,1210,1772,1885,1922,3166,3849,3985,4005,1063,22.51,72.52,58.38
129.6964876651764,493,1224,1792,1906,1938,3196,3887,4025,4045,1051,22.51,72.52,58.39
130.7196593284607,497,1236,1810,1925,1955,3225,3923,4062,4082,1056,22.51,72.52,58.39
131.74305033683777,503,1250,1830,1946,1978,3262,3968,4109,4129,1064,22.51,72.51,58.41
132.7519884109497,509,1258,1841,1957,2011,3303,4012,4153,4174,1021,22.50,72.51,58.42
133.7752227783203,513,1267,1854,1971,2032,3335,4048,4190,4211,1041,22.50,72.51,58.41
134.79860639572144,517,1279,1871,1989,2046,3360,4080,4223,4244,1073,22.50,72.51,58.42
135.82211875915527,520,1291,1891,2011,2045,3372,4101,4247,4268,1091,22.51,72.51,58.42
136.8313181400299,524,1300,1903,2023,2069,3405,4137,4284,4305,1056,22.51,72.52,58.42
137.85475945472717,529,1307,1912,2033,2093,3437,4172,4319,4340,1053,22.51,72.52,58.42
138.87816095352173,534,1321,1933,2056,2111,3469,4213,4361,4383,1076,22.51,72.51,58.43
139.90164637565613,539,1333,1951,2075,2133,3504,4254,4404,4426,1050,22.50,72.51,58.44
140.9252188205719,545,1347,1970,2095,2162,3546,4303,4454,4476,1038,22.50,72.50,58.45
141.93460297584534,551,1361,1990,2116,2185,3583,4348,4500,4523,1029,22.50,72.51,58.45
142.9582600593567,555,1375,2013,2140,2192,3605,4380,4535,4557,1057,22.51,72.52,58.44
143.98173689842224,560,1392,2039,2169,2200,3631,4417,4574,4597,1060,22.51,72.52,58.43
145.00511956214905,565,1407,2062,2193,2213,3659,4455,4614,4637,1066,22.52,72.53,58.41
146.0286512374878,568,1415,2075,2206,2225,3679,4481,4640,4664,1044,22.52,72.53,58.42
147.05227899551392,571,1429,2097,2230,2226,3695,4506,4668,4691,1074,22.52,72.54,58.42
148.06162786483765,574,1435,2105,2239,2236,3711,4525,4687,4711,1065,22.52,72.54,58.40
149.0848422050476,577,1444,2119,2254,2248,3732,4552,4716,4740,1067,22.53,72.55,58.39
150.10841035842896,581,1447,2121,2256,2275,3762,4581,4744,4768,1038,22.53,72.56,58.38
151.13181161880493,584,1450,2124,2259,2299,3790,4609,4772,4796,1027,22.53,72.56,58.38
152.14088010787964,589,1462,2142,2278,2317,3820,4646,4811,4835,1057,22.53,72.56,58.38
153.1641139984131,593,1475,2161,2298,2331,3847,4680,4846,4870,1070,22.53,72.55,58.40
154.1877453327179,597,1483,2173,2311,2349,3874,4712,4879,4903,1050,22.53,72.55,58.40
155.2112753391266,602,1495,2191,2330,2363,3900,4745,4914,4938,1056,22.52,72.54,58.42
156.23484587669373,606,1510,2213,2354,2376,3928,4782,4953,4977,1056,22.52,72.53,58.43
157.24411749839783,610,1522,2231,2373,2389,3953,4815,4987,5012,1053,22.52,72.53,58.44
158.26742267608643,614,1525,2234,2375,2416,3983,4844,5016,5041,1017,22.52,72.53,58.44
159.2908375263214,618,1526,2232,2373,2451,4019,4877,5048,5073,1008,22.51,72.53,58.44
160.31437516212463,622,1535,2244,2386,2471,4049,4911,5083,5108,1032,22.51,72.52,58.45
161.3379364013672,626,1543,2256,2399,2484,4070,4937,5110,5135,1037,22.51,72.51,58.47
162.36178469657898,630,1554,2273,2417,2498,4095,4969,5143,5169,1045,22.50,72.50,58.47
163.38560700416565,634,1564,2287,2431,2514,4121,5000,5175,5201,1042,22.51,72.51,58.48
164.40937447547913,637,1573,2300,2446,2527,4143,5027,5204,5229,1043,22.51,72.51,58.47
165.41874980926514,640,1582,2315,2461,2536,4161,5052,5229,5255,1044,22.51,72.52,58.46
166.44193315505981,643,1590,2327,2474,2543,4177,5073,5251,5277,1049,22.52,72.53,58.45
167.46532320976257,649,1610,2357,2507,2554,4208,5117,5298,5324,1053,22.52,72.53,58.47
168.48890018463135,652,1624,2380,2531,2557,4226,5145,5328,5355,1063,22.51,72.53,58.48
169.4980788230896,656,1629,2387,2538,2577,4252,5172,5356,5383,1037,22.51,72.53,58.48
170.52117586135864,661,1645,2411,2565,2592,4283,5214,5399,5426,1049,22.52,72.53,58.46
171.54452896118164,668,1662,2436,2590,2617,4325,5265,5453,5480,1046,22.52,72.54,58.46
172.5681550502777,677,1687,2473,2630,2655,4389,5344,5534,5562,1056,22.52,72.54,58.46
173.5773561000824,685,1708,2504,2663,2681,4437,5404,5597,5625,1066,22.52,72.54,58.46
174.60052299499512,693,1727,2531,2692,2715,4489,5466,5661,5690,1032,22.52,72.54,58.48
175.62391710281372,698,1741,2553,2716,2731,4521,5507,5704,5733,1047,22.52,72.53,58.49
176.64743447303772,705,1756,2574,2738,2762,4567,5561,5759,5788,1034,22.52,72.53,58.47
177.65668892860413,710,1773,2600,2765,2774,4596,5601,5801,5830,1060,22.52,72.53,58.48
178.67999410629272,714,1782,2613,2779,2794,4625,5635,5836,5865,1043,22.52,72.54,58.46
179.70326614379883,719,1790,2623,2790,2818,4657,5670,5872,5902,1047,22.52,72.53,58.49
180.72670602798462,725,1801,2639,2807,2848,4700,5718,5921,5950,1055,22.52,72.53,58.50
181.75101280212402,729,1813,2656,2825,2865,4728,5753,5957,5987,1070,22.51,72.52,58.50
182.7746958732605,733,1815,2656,2824,2899,4763,5786,5989,6019,1015,22.51,72.52,58.50
183.79828214645386,737,1818,2658,2826,2925,4793,5815,6018,6048,1017,22.51,72.53,58.50
184.807537317276,740,1819,2657,2825,2949,4818,5837,6040,6070,1010,22.51,72.53,58.50
185.83062767982483,743,1822,2661,2829,2971,4843,5863,6066,6096,1020,22.52,72.53,58.50
186.85404562950134,746,1822,2658,2825,2997,4868,5885,6088,6117,1013,22.52,72.54,58.48
187.877610206604,748,1833,2677,2846,2994,4878,5903,6108,6138,1062,22.53,72.55,58.48
188.88686513900757,752,1843,2691,2861,3009,4903,5934,6140,6170,1036,22.53,72.55,58.48
189.9101438522339,756,1849,2699,2869,3035,4935,5968,6174,6204,1018,22.53,72.55,58.47
190.9334843158722,763,1867,2725,2897,3059,4978,6021,6229,6259,1034,22.54,72.57,58.45
191.95699906349182,768,1878,2741,2914,3078,5008,6057,6267,6297,1034,22.54,72.58,58.43
192.96617197990417,771,1893,2765,2940,3082,5027,6087,6298,6329,1065,22.54,72.58,58.42
193.98937010765076,776,1900,2773,2947,3114,5065,6127,6338,6369,1025,22.54,72.58,58.43
195.01282238960266,780,1901,2772,2946,3144,5097,6156,6368,6398,1011,22.54,72.57,58.44
196.03643131256104,783,1909,2783,2958,3159,5119,6182,6394,6425,1044,22.54,72.57,58.44
197.04554963111877,787,1920,2801,2977,3163,5135,6207,6420,6451,1061,22.54,72.57,58.45
198.06895995140076,790,1926,2809,2985,3183,5162,6235,6449,6480,1032,22.53,72.56,58.45
199.092271566391,795,1939,2828,3006,3204,5196,6276,6492,6523,1035,22.53,72.56,58.47
200.11576437950134,806,1970,2875,3056,3235,5259,6359,6579,6611,1057,22.53,72.55,58.47
201.12486672401428,812,1993,2911,3094,3242,5289,6405,6628,6660,1083,22.53,72.55,58.48
202.1480689048767,816,2009,2936,3122,3247,5312,6439,6664,6697,1073,22.52,72.54,58.49
203.17143440246582,819,2008,2932,3117,3276,5339,6463,6687,6720,1031,22.52,72.54,58.49
204.19501972198486,822,2014,2940,3126,3293,5362,6488,6713,6745,1056,22.52,72.54,58.50
205.20413041114807,826,2024,2956,3142,3302,5382,6514,6740,6773,1050,22.52,72.54,58.50
206.22777676582336,829,2040,2982,3170,3301,5397,6541,6769,6803,1062,22.52,72.54,58.50
207.25101733207703,832,2038,2975,3163,3334,5428,6568,6795,6828,1005,22.52,72.54,58.51
208.2744278907776,836,2040,2977,3164,3360,5456,6595,6822,6855,1027,22.52,72.53,58.51
209.2834849357605,838,2037,2968,3155,3388,5480,6613,6839,6872,1004,22.51,72.53,58.52
210.30670046806335,841,2034,2960,3146,3423,5512,6639,6864,6896,1014,22.52,72.53,58.52
211.33010053634644,843,2039,2968,3154,3428,5522,6652,6877,6910,1034,22.52,72.53,58.51
212.35353755950928,844,2042,2972,3158,3435,5533,6664,6890,6922,1045,22.52,72.54,58.51
213.36281871795654,846,2048,2981,3168,3441,5544,6679,6906,6939,1045,22.52,72.54,58.50
214.3860490322113,848,2056,2994,3182,3441,5553,6694,6922,6955,1055,22.52,72.54,58.50
215.40943336486816,850,2063,3005,3194,3441,5560,6706,6934,6968,1063,22.53,72.55,58.49
216.41835594177246,851,2059,2997,3184,3460,5574,6715,6942,6975,1030,22.53,72.56,58.49
217.44162034988403,852,2059,2997,3184,3469,5583,6723,6951,6984,1040,22.53,72.55,58.49
218.4649338722229,852,2060,2998,3186,3471,5587,6728,6955,6988,1040,22.53,72.55,58.50
219.48838472366333,853,2058,2994,3181,3479,5592,6731,6958,6991,1021,22.53,72.55,58.47
220.4976499080658,853,2060,2997,3185,3479,5594,6734,6962,6995,1049,22.54,72.57,58.48
221.52082633972168,854,2066,3007,3195,3477,5599,6743,6971,7005,1040,22.54,72.56,58.48
222.54432439804077,856,2066,3007,3195,3487,5609,6753,6981,7014,1030,22.53,72.55,58.49
223.5679326057434,857,2068,3009,3197,3496,5619,6763,6991,7025,1011,22.53,72.55,58.50
224.57698225975037,858,2073,3017,3206,3496,5625,6773,7002,7035,1044,22.53,72.55,58.50
225.60021829605103,859,2072,3013,3201,3511,5638,6783,7011,7044,1022,22.53,72.55,58.51
226.62354707717896,861,2074,3017,3205,3517,5647,6793,7022,7055,1034,22.53,72.56,58.50
227.64706206321716,862,2074,3015,3203,3531,5660,6805,7033,7067,1017,22.53,72.56,58.50
228.65630722045898,864,2086,3035,3225,3521,5663,6818,7048,7081,1049,22.53,72.56,58.51
229.67949986457825,866,2092,3045,3235,3525,5674,6832,7063,7097,1050,22.53,72.55,58.51
230.70288705825806,868,2104,3065,3257,3519,5680,6848,7081,7115,1051,22.53,72.55,58.51
231.72645807266235,870,2121,3092,3287,3509,5687,6869,7104,7139,1068,22.53,72.55,58.52
232.73566961288452,873,2135,3115,3311,3505,5698,6890,7128,7163,1071,22.52,72.54,58.54
233.75951600074768,877,2146,3132,3329,3516,5721,6919,7159,7193,1066,22.52,72.53,58.55
234.7828311920166,882,2162,3158,3357,3524,5746,6956,7197,7233,1058,22.51,72.52,58.56
235.80618166923523,889,2186,3194,3395,3542,5787,7013,7257,7293,1059,22.51,72.52,58.57
236.82964420318604,898,2218,3244,3449,3562,5841,7088,7337,7373,1069,22.51,72.51,58.58
237.83886051177979,909,2252,3297,3505,3585,5899,7169,7422,7459,1057,22.50,72.51,58.58
238.8620536327362,916,2266,3315,3525,3625,5953,7228,7483,7520,1025,22.50,72.50,58.60
239.88537669181824,923,2279,3334,3545,3658,6001,7283,7539,7576,1035,22.50,72.50,58.59
240.90890669822693,928,2288,3345,3557,3685,6036,7322,7578,7615,1032,22.50,72.50,58.60
241.91818571090698,932,2286,3338,3548,3728,6076,7355,7610,7647,990,22.50,72.50,58.61
242.94145488739014,937,2285,3333,3543,3770,6118,7392,7646,7683,1000,22.51,72.52,58.58
243.96501064300537,941,2285,3329,3538,3811,6158,7428,7681,7718,1003,22.51,72.52,58.58
244.98855638504028,944,2281,3319,3526,3846,6189,7451,7703,7740,999,22.51,72.52,58.60
245.9974970817566,947,2282,3319,3526,3872,6216,7477,7728,7765,1012,22.50,72.50,58.62
247.020672082901,950,2278,3309,3515,3904,6242,7497,7747,7783,1007,22.50,72.50,58.63
248.04399061203003,953,2271,3293,3498,3945,6276,7520,7768,7804,989,22.50,72.50,58.62
249.06916427612305,955,2270,3290,3494,3971,6301,7542,7790,7826,1011,22.50,72.50,58.62
250.09242582321167,958,2284,3313,3519,3967,6312,7565,7814,7851,1033,22.50,72.50,58.61
251.11584210395813,961,2297,3333,3541,3968,6325,7587,7838,7875,1037,22.50,72.50,58.62
252.13934445381165,964,2312,3357,3567,3962,6335,7608,7861,7898,1047,22.50,72.50,58.62
253.16371703147888,971,2342,3407,3620,3961,6366,7661,7920,7957,1054,22.50,72.50,58.63
254.18708896636963,975,2366,3446,3663,3951,6381,7695,7957,7995,1081,22.50,72.49,58.65
255.2106020450592,979,2376,3461,3678,3968,6408,7728,7991,8029,1042,22.49,72.49,58.65
256.219829082489,982,2365,3440,3655,4012,6441,7748,8009,8047,988,22.49,72.49,58.66
257.24290657043457,983,2366,3440,3654,4026,6455,7761,8022,8059,1028,22.49,72.49,58.65
258.26621413230896,985,2368,3441,3656,4034,6465,7771,8032,8070,1016,22.50,72.50,58.64
259.27533507347107,986,2370,3444,3659,4043,6476,7783,8044,8082,1019,22.50,72.50,58.64
260.2985911369324,987,2378,3457,3672,4040,6481,7794,8056,8094,1047,22.50,72.50,58.64
261.32206654548645,989,2385,3470,3686,4037,6487,7806,8069,8107,1056,22.50,72.50,58.64
262.34571146965027,990,2389,3474,3691,4043,6496,7816,8080,8118,1032,22.50,72.51,58.63
263.3546783924103,992,2398,3490,3708,4040,6503,7831,8096,8134,1035,22.51,72.53,58.62
264.3778829574585,994,2412,3513,3733,4032,6509,7848,8115,8154,1044,22.52,72.53,58.58
265.4012539386749,997,2412,3511,3730,4054,6530,7867,8134,8172,1024,22.52,72.53,58.60
266.4248836040497,999,2419,3522,3742,4061,6545,7886,8154,8193,1046,22.52,72.53,58.61
267.4486629962921,1002,2423,3526,3747,4074,6562,7904,8172,8211,1023,22.52,72.53,58.62
268.4578413963318,1004,2420,3520,3740,4101,6586,7923,8190,8229,997,22.52,72.54,58.61
269.4818024635315,1007,2429,3533,3753,4109,6603,7946,8213,8252,1044,22.52,72.54,58.61
270.504967212677,1011,2447,3562,3785,4109,6621,7978,8248,8288,1064,22.52,72.54,58.62
271.5283992290497,1015,2468,3597,3822,4103,6638,8011,8284,8324,1070,22.52,72.53,58.62
272.551878452301,1021,2491,3634,3862,4105,6664,8053,8330,8371,1068,22.52,72.53,58.62
273.56101965904236,1025,2502,3650,3879,4125,6695,8090,8368,8409,1037,22.52,72.54,58.61
274.5842077732086,1031,2512,3663,3893,4155,6736,8135,8414,8455,1035,22.52,72.53,58.62
275.60768580436707,1034,2515,3665,3895,4179,6762,8161,8440,8481,1023,22.52,72.53,58.63
276.6311385631561,1038,2522,3675,3906,4203,6794,8196,8475,8516,1033,22.52,72.53,58.63
277.6403591632843,1042,2532,3690,3921,4217,6817,8225,8506,8547,1029,22.51,72.53,58.63
278.66350841522217,1046,2543,3706,3938,4227,6838,8253,8535,8576,1054,22.51,72.52,58.64
279.6869218349457,1049,2544,3705,3938,4250,6863,8276,8557,8598,1026,22.51,72.52,58.64
280.7104139328003,1051,2544,3704,3936,4271,6884,8295,8576,8617,1020,22.51,72.51,58.66
281.719708442688,1053,2532,3680,3909,4317,6916,8313,8591,8632,976,22.51,72.51,58.66
282.74270820617676,1055,2532,3678,3907,4335,6935,8329,8607,8648,1019,22.50,72.51,58.68
283.7659320831299,1057,2549,3707,3939,4320,6938,8346,8627,8668,1069,22.50,72.50,58.68
284.77516984939575,1060,2559,3723,3956,4321,6949,8365,8647,8688,1038,22.50,72.50,58.68
285.79866671562195,1062,2579,3757,3993,4298,6947,8380,8666,8707,1069,22.50,72.50,58.68
286.8219413757324,1065,2578,3753,3988,4327,6975,8404,8689,8731,1024,22.50,72.50,58.70
287.8453299999237,1068,2585,3764,3999,4342,6997,8430,8716,8758,1040,22.49,72.49,58.72
288.8545837402344,1071,2595,3778,4015,4351,7016,8455,8742,8784,1041,22.49,72.49,58.73
289.8779139518738,1077,2615,3810,4049,4357,7043,8497,8787,8829,1051,22.49,72.48,58.73
290.90128803253174,1081,2620,3816,4055,4382,7073,8528,8818,8860,1040,22.49,72.48,58.74
291.9248011112213,1086,2636,3840,4081,4399,7107,8571,8863,8906,1045,22.49,72.48,58.74
292.94843316078186,1093,2655,3868,4111,4426,7153,8628,8922,8965,1051,22.48,72.47,58.76
293.9577672481537,1099,2669,3888,4132,4452,7193,8675,8971,9014,1039,22.49,72.48,58.75
294.9810276031494,1103,2681,3906,4151,4462,7215,8706,9003,9046,1045,22.49,72.48,58.76
296.00438046455383,1117,2711,3948,4196,4526,7310,8815,9116,9159,1037,22.49,72.49,58.75
297.01324462890625,1123,2728,3976,4225,4540,7342,8859,9162,9206,1052,22.49,72.48,58.75
298.03640818595886,1127,2734,3982,4232,4572,7380,8898,9201,9245,1014,22.49,72.48,58.75
299.0600073337555,1133,2743,3993,4243,4602,7419,8940,9243,9287,1017,22.50,72.50,58.73
300.08349442481995,1138,2750,4002,4252,4634,7458,8981,9284,9328,1016,22.51,72.51,58.71
301.09263277053833,1144,2764,4022,4274,4656,7495,9025,9331,9375,1028,22.51,72.51,58.72
