time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0307691097259521,2,9,13,14,4,13,19,20,20,1026,23.32,73.98,65.11
2.1505286693573,1,4,6,6,0,4,6,7,7,1630,21.56,70.81,58.33
3.173121690750122,1,3,4,5,3,6,8,8,8,1240,21.49,70.67,58.39
4.181949853897095,1,3,4,5,5,8,9,10,10,1116,21.43,70.58,58.45
5.20508074760437,1,3,5,5,5,8,10,10,11,1158,21.42,70.55,58.47
6.228634357452393,2,3,5,5,7,11,12,12,13,1053,21.38,70.49,58.53
7.237670421600342,2,4,5,5,8,11,13,13,14,1070,21.36,70.45,58.58
8.26083493232727,2,4,6,6,8,12,14,14,14,1105,21.34,70.42,58.61
9.28416657447815,2,4,6,6,8,12,14,14,15,1122,21.34,70.40,58.63
10.309078693389893,2,4,6,7,8,12,15,15,15,1128,21.32,70.38,58.69
11.332233667373657,2,4,6,7,8,12,15,15,15,1131,21.31,70.36,58.72
12.355586290359497,2,4,6,6,9,13,15,15,15,1054,21.29,70.33,58.76
13.364558458328247,2,4,6,6,9,13,15,16,16,1079,21.29,70.32,58.79
14.387773752212524,2,4,6,7,9,13,15,16,16,1097,21.27,70.29,58.82
15.41216230392456,2,5,6,7,9,13,16,16,16,1088,21.27,70.28,58.86
16.435311794281006,2,4,6,7,9,14,16,16,16,1071,21.26,70.27,58.88
17.45877456665039,2,4,6,6,10,14,16,17,17,1023,21.26,70.27,58.90
18.482323169708252,2,4,6,7,10,14,16,17,17,1039,21.26,70.26,58.91
19.506143808364868,2,4,6,7,10,14,16,17,17,1034,21.26,70.26,58.92
20.531431436538696,2,4,6,6,10,14,17,17,17,1014,21.26,70.27,58.92
21.554702043533325,2,4,6,6,10,14,16,17,17,1014,21.26,70.27,58.93
22.578088521957397,2,4,6,6,10,15,16,17,17,980,21.26,70.27,58.92
23.601649284362793,2,4,6,6,11,15,17,17,17,968,21.27,70.29,58.91
24.625226259231567,2,4,5,6,11,15,16,17,17,952,21.27,70.29,58.92
25.64897084236145,2,4,5,6,11,15,17,17,17,929,21.27,70.29,58.91
26.658374786376953,2,4,5,5,11,15,17,17,17,919,21.27,70.29,58.91
27.681623697280884,2,4,5,6,11,15,17,17,17,927,21.28,70.30,58.91
28.705204725265503,2,4,5,6,11,15,17,17,17,939,21.28,70.30,58.90
29.729002475738525,2,4,6,6,11,15,17,17,17,951,21.28,70.30,58.91
30.75261616706848,2,4,6,6,11,15,17,17,17,965,21.28,70.30,58.91
31.77646803855896,2,4,6,6,11,15,17,17,17,946,21.29,70.33,58.87
32.8002827167511,2,4,6,6,11,15,17,17,17,949,21.32,70.37,58.82
33.82396411895752,2,4,6,6,11,15,17,17,17,965,21.34,70.41,58.77
34.83268857002258,8,16,22,23,39,56,63,65,65,960,21.35,70.42,58.75
35.85649251937866,11,23,33,34,52,76,87,90,90,993,21.36,70.45,58.71
36.87998962402344,13,28,39,41,61,90,103,106,107,999,21.37,70.46,58.68
37.903536558151245,15,34,48,50,71,105,122,126,126,1025,21.36,70.46,58.68
38.92706823348999,17,36,52,55,77,115,133,137,137,1020,21.37,70.46,58.68
39.95061206817627,20,47,67,72,87,135,160,165,166,1060,21.36,70.45,58.69
40.97557234764099,23,54,78,83,95,151,180,186,187,1078,21.35,70.43,58.71
41.9989275932312,31,75,109,116,125,202,243,252,253,1097,21.34,70.42,58.73
43.02254104614258,41,101,147,156,165,268,324,335,337,1098,21.34,70.41,58.74
44.04614567756653,47,116,169,179,191,310,374,387,389,1075,21.33,70.39,58.77
45.06958317756653,50,122,177,188,202,327,395,408,410,1063,21.32,70.37,58.80
46.093395471572876,57,137,200,213,230,371,447,462,464,1066,21.31,70.36,58.83
47.10248517990112,63,153,222,236,256,413,498,514,517,1067,21.31,70.36,58.83
48.12565898895264,70,169,245,261,285,458,552,570,573,1054,21.31,70.36,58.83
49.15002918243408,78,187,272,289,320,512,615,635,638,1032,21.31,70.36,58.84
50.173232316970825,84,201,292,310,347,553,663,685,689,1024,21.31,70.36,58.84
51.196616888046265,92,219,318,337,380,605,725,749,752,1044,21.31,70.37,58.84
52.205575466156006,97,231,335,356,402,639,766,791,795,1038,21.32,70.37,58.84
53.228649377822876,102,243,353,375,424,674,808,834,838,1038,21.31,70.36,58.86
54.252005100250244,110,260,377,401,456,723,865,894,898,1028,21.31,70.36,58.86
55.261032819747925,117,279,403,428,489,774,927,957,961,1036,21.31,70.37,58.86
56.2842059135437,123,290,420,446,512,810,968,1000,1004,1017,21.32,70.38,58.84
57.307650566101074,127,300,434,460,531,839,1002,1034,1039,1018,21.32,70.38,58.85
58.31649470329285,131,309,448,475,545,862,1031,1065,1069,1045,21.32,70.37,58.85
59.33966827392578,134,319,461,490,559,886,1060,1095,1100,1033,21.32,70.37,58.86
60.36312460899353,137,327,474,504,568,904,1083,1119,1124,1049,21.31,70.35,58.87
61.386688232421875,140,335,487,517,577,921,1106,1142,1148,1041,21.30,70.34,58.90
62.395833015441895,144,345,501,533,589,943,1133,1171,1177,1056,21.29,70.32,58.93
63.41894197463989,148,357,519,551,605,971,1168,1208,1213,1047,21.29,70.32,58.91
64.44230127334595,154,373,542,576,624,1007,1214,1255,1261,1063,21.28,70.31,58.95
65.46724438667297,161,392,571,607,652,1055,1272,1316,1322,1056,21.28,70.30,58.96
66.49045968055725,168,411,599,637,678,1100,1329,1375,1381,1060,21.28,70.30,58.97
67.51385045051575,176,431,630,670,705,1149,1390,1438,1445,1057,21.28,70.31,58.96
68.53729724884033,181,443,646,687,725,1180,1428,1477,1484,1022,21.29,70.32,58.96
69.5465018749237,186,455,665,707,744,1211,1466,1517,1524,1046,21.29,70.32,58.96
70.57036185264587,193,474,692,736,772,1259,1524,1577,1585,1054,21.29,70.33,58.95
71.59354543685913,201,495,724,769,800,1309,1587,1642,1650,1079,21.30,70.33,58.95
72.6168601512909,206,508,743,790,818,1341,1626,1683,1691,1060,21.30,70.34,58.94
73.62579679489136,211,523,766,815,835,1372,1667,1726,1735,1082,21.30,70.35,58.93
74.64908838272095,221,553,810,862,865,1433,1747,1809,1818,1086,21.30,70.35,58.94
75.6734676361084,226,565,830,882,879,1461,1782,1846,1855,1082,21.31,70.36,58.92
76.69659352302551,234,587,861,916,912,1515,1848,1915,1924,1064,21.31,70.36,58.91
77.71998167037964,242,607,891,947,939,1563,1908,1976,1986,1082,21.32,70.38,58.90
78.72899174690247,251,632,928,987,973,1622,1982,2054,2064,1094,21.32,70.38,58.89
79.75232768058777,259,651,956,1017,1001,1670,2040,2114,2125,1072,21.32,70.37,58.90
80.77558016777039,266,670,985,1048,1028,1717,2099,2176,2187,1073,21.32,70.37,58.91
81.79912257194519,272,687,1010,1074,1045,1752,2144,2222,2233,1077,21.32,70.37,58.91
82.80813813209534,283,714,1050,1117,1085,1820,2228,2309,2321,1066,21.31,70.36,58.91
83.83122491836548,292,739,1086,1156,1124,1884,2306,2390,2402,1060,21.30,70.35,58.93
84.85461592674255,304,767,1128,1200,1171,1960,2398,2485,2498,1050,21.31,70.35,58.94
85.87833619117737,314,790,1161,1236,1211,2024,2474,2564,2577,1032,21.31,70.35,58.93
86.88750076293945,326,822,1209,1287,1253,2099,2569,2663,2676,1070,21.31,70.35,58.93
87.91069769859314,332,838,1232,1311,1279,2141,2620,2715,2729,1053,21.32,70.37,58.92
88.9340467453003,339,859,1264,1345,1300,2184,2675,2774,2788,1093,21.32,70.37,58.91
89.95752835273743,345,878,1293,1376,1311,2214,2719,2819,2834,1109,21.32,70.37,58.92
90.96674871444702,349,890,1312,1396,1328,2243,2755,2857,2872,1072,21.31,70.37,58.92
91.99008107185364,353,900,1325,1410,1344,2270,2786,2889,2904,1061,21.31,70.36,58.94
93.01336073875427,359,917,1351,1438,1362,2305,2832,2937,2953,1088,21.31,70.36,58.95
94.03681588172913,364,933,1376,1465,1374,2334,2872,2980,2995,1090,21.32,70.37,58.93
95.04615759849548,369,942,1389,1479,1398,2368,2910,3018,3034,1054,21.32,70.38,58.91
96.06932258605957,373,946,1392,1481,1429,2401,2943,3051,3067,1019,21.33,70.40,58.89
97.09277248382568,376,947,1392,1480,1454,2428,2968,3075,3091,1023,21.33,70.40,58.89
98.11626195907593,379,946,1387,1476,1481,2453,2989,3096,3112,1009,21.33,70.40,58.88
99.1253707408905,382,948,1388,1476,1507,2481,3016,3123,3138,1011,21.34,70.41,58.88
100.14849758148193,385,957,1401,1490,1516,2499,3039,3147,3163,1067,21.34,70.42,58.87
101.17185163497925,388,959,1404,1493,1531,2517,3057,3165,3181,1031,21.34,70.42,58.85
102.19538140296936,391,969,1418,1508,1544,2539,3085,3194,3210,1067,21.34,70.42,58.87
103.20460677146912,399,988,1447,1539,1571,2587,3145,3256,3272,1062,21.34,70.42,58.87
104.22785711288452,405,1008,1477,1571,1587,2623,3193,3307,3324,1087,21.35,70.42,58.87
105.2511715888977,413,1028,1507,1603,1619,2676,3258,3374,3391,1056,21.35,70.42,58.87
106.27474284172058,421,1048,1535,1633,1654,2731,3323,3441,3458,1041,21.35,70.42,58.86
107.2838933467865,429,1065,1559,1657,1693,2787,3388,3508,3525,1026,21.35,70.44,58.85
108.30706262588501,437,1081,1582,1682,1730,2841,3449,3571,3588,1032,21.37,70.46,58.83
109.33049941062927,444,1097,1605,1707,1760,2888,3505,3628,3646,1037,21.37,70.46,58.83
110.35394859313965,450,1113,1629,1732,1781,2925,3552,3677,3695,1056,21.38,70.48,58.80
111.36323738098145,457,1133,1658,1763,1805,2969,3608,3735,3753,1057,21.38,70.49,58.79
112.38639044761658,464,1148,1681,1787,1832,3012,3659,3788,3807,1045,21.38,70.48,58.81
113.40974855422974,469,1162,1701,1808,1848,3042,3697,3827,3846,1046,21.36,70.46,58.83
114.41860127449036,474,1174,1719,1828,1867,3074,3736,3868,3887,1049,21.36,70.45,58.84
115.44094204902649,485,1206,1767,1880,1905,3144,3826,3962,3982,1074,21.35,70.43,58.86
116.46362829208374,498,1243,1822,1938,1945,3223,3927,4067,4088,1069,21.34,70.42,58.88
117.48641777038574,507,1260,1846,1963,1989,3284,3996,4138,4159,1003,21.33,70.40,58.91
118.50925469398499,515,1282,1879,1998,2019,3337,4063,4207,4228,1033,21.33,70.39,58.92
119.5320315361023,521,1295,1898,2019,2042,3374,4106,4253,4274,1033,21.33,70.39,58.94
120.55481767654419,524,1301,1905,2026,2064,3401,4135,4281,4303,1029,21.32,70.38,58.94
121.57779669761658,527,1304,1908,2029,2085,3425,4160,4306,4327,1022,21.32,70.37,58.96
122.60078024864197,530,1312,1920,2042,2096,3444,4183,4331,4352,1049,21.32,70.37,58.97
123.6240541934967,534,1324,1938,2061,2101,3462,4209,4358,4379,1052,21.31,70.36,58.98
124.64672756195068,537,1336,1957,2082,2107,3480,4235,4386,4407,1056,21.31,70.36,58.99
125.66944527626038,541,1346,1973,2098,2119,3503,4264,4416,4438,1040,21.31,70.36,58.99
126.69268155097961,545,1356,1988,2114,2134,3528,4295,4448,4471,1036,21.31,70.35,59.01
127.71592879295349,549,1356,1985,2110,2170,3564,4328,4480,4502,985,21.31,70.35,59.01
128.7392282485962,552,1351,1971,2095,2217,3604,4359,4509,4531,959,21.30,70.34,59.03
129.76314640045166,556,1355,1975,2099,2244,3635,4390,4540,4562,1009,21.30,70.33,59.05
130.7863688468933,562,1366,1990,2115,2271,3674,4434,4585,4607,1018,21.29,70.33,59.06
131.80954003334045,570,1379,2008,2133,2319,3736,4500,4653,4675,1001,21.29,70.32,59.08
132.83348417282104,580,1402,2040,2168,2363,3802,4579,4734,4756,1018,21.28,70.31,59.10
133.85620260238647,587,1418,2063,2193,2390,3846,4631,4788,4810,1026,21.28,70.31,59.11
134.87947034835815,592,1436,2092,2223,2403,3879,4676,4835,4858,1043,21.28,70.30,59.11
135.90292358398438,600,1460,2129,2263,2419,3919,4732,4894,4918,1064,21.28,70.30,59.12
136.92639827728271,606,1477,2154,2289,2438,3955,4778,4943,4967,1039,21.28,70.31,59.12
137.94984102249146,616,1498,2183,2320,2491,4030,4863,5030,5054,1008,21.29,70.31,59.13
138.97303199768066,624,1516,2209,2348,2524,4081,4924,5092,5117,1032,21.29,70.31,59.13
139.99617314338684,630,1536,2239,2379,2543,4120,4975,5146,5171,1063,21.28,70.31,59.14
141.0195562839508,637,1550,2259,2401,2575,4167,5029,5201,5226,1039,21.29,70.32,59.13
142.04303622245789,643,1567,2284,2428,2591,4200,5073,5247,5272,1061,21.29,70.33,59.11
143.06627559661865,647,1581,2307,2452,2603,4227,5109,5285,5311,1055,21.29,70.33,59.11
144.08986735343933,652,1599,2334,2482,2605,4248,5142,5321,5347,1064,21.29,70.33,59.11
145.1132242679596,655,1607,2347,2495,2619,4270,5170,5349,5375,1046,21.29,70.33,59.11
146.13655161857605,659,1615,2358,2507,2636,4295,5198,5378,5405,1044,21.29,70.33,59.13
147.16005516052246,662,1620,2365,2514,2654,4319,5224,5405,5431,1027,21.30,70.35,59.10
148.1835970878601,665,1629,2378,2527,2664,4338,5248,5430,5456,1040,21.31,70.35,59.10
149.20730638504028,669,1642,2398,2549,2669,4356,5276,5459,5486,1048,21.31,70.36,59.09
150.23076486587524,673,1654,2416,2568,2688,4387,5313,5498,5525,1036,21.31,70.36,59.09
151.25420761108398,680,1656,2415,2566,2741,4443,5365,5549,5576,1025,21.32,70.37,59.07
152.27779340744019,685,1663,2422,2574,2772,4480,5404,5588,5615,1013,21.32,70.37,59.07
153.30171537399292,689,1677,2445,2598,2785,4508,5441,5627,5654,1048,21.32,70.38,59.06
154.32519483566284,694,1692,2468,2623,2796,4534,5477,5665,5692,1042,21.34,70.41,59.02
155.3486828804016,699,1711,2498,2655,2797,4555,5512,5702,5730,1068,21.34,70.42,59.01
156.37226152420044,705,1731,2529,2689,2811,4590,5560,5753,5781,1060,21.35,70.42,59.00
157.38131713867188,709,1744,2549,2710,2824,4617,5595,5790,5819,1054,21.35,70.43,58.99
158.40441179275513,714,1754,2562,2723,2849,4650,5633,5829,5857,1035,21.35,70.43,58.99
159.4277458190918,719,1762,2572,2734,2878,4688,5674,5870,5899,1030,21.34,70.42,59.01
160.45106506347656,727,1781,2599,2763,2912,4741,5737,5935,5964,1029,21.34,70.42,59.00
161.47456741333008,734,1799,2626,2792,2941,4790,5795,5996,6025,1036,21.34,70.41,59.02
162.49803256988525,741,1820,2659,2827,2960,4830,5850,6054,6083,1068,21.34,70.41,59.02
163.50720977783203,749,1846,2698,2869,2977,4873,5910,6117,6147,1068,21.34,70.42,59.01
164.5303680896759,756,1861,2720,2891,3009,4921,5965,6174,6204,1038,21.34,70.42,59.00
165.5534152984619,761,1875,2741,2915,3027,4954,6007,6217,6248,1053,21.34,70.41,59.01
166.576806306839,767,1891,2765,2940,3042,4985,6047,6259,6290,1053,21.34,70.41,59.02
167.6003646850586,772,1909,2793,2970,3055,5016,6091,6306,6337,1071,21.33,70.40,59.03
168.62400698661804,779,1929,2823,3002,3077,5060,6146,6363,6395,1064,21.33,70.40,59.03
169.64762496948242,785,1955,2865,3047,3079,5089,6195,6415,6447,1102,21.33,70.40,59.02
170.65669083595276,790,1964,2877,3059,3105,5123,6232,6454,6486,1055,21.33,70.40,59.04
171.6798300743103,794,1965,2876,3058,3138,5158,6265,6486,6518,1035,21.32,70.38,59.06
172.70311212539673,797,1960,2865,3046,3173,5187,6287,6506,6538,1027,21.32,70.37,59.08
173.72647333145142,800,1957,2857,3037,3204,5215,6309,6527,6559,1011,21.31,70.36,59.10
174.73537683486938,803,1956,2852,3031,3235,5244,6333,6551,6582,998,21.29,70.33,59.14
175.75851607322693,806,1970,2874,3055,3239,5262,6362,6581,6613,1056,21.28,70.30,59.18
176.78177213668823,810,1983,2895,3077,3246,5283,6392,6613,6645,1051,21.26,70.28,59.22
177.80534100532532,813,1985,2896,3078,3270,5309,6417,6638,6670,1018,21.26,70.26,59.24
178.82887029647827,816,1989,2900,3082,3288,5331,6439,6660,6692,1017,21.26,70.27,59.26
179.83825492858887,819,1990,2899,3081,3317,5360,6466,6686,6718,1003,21.27,70.29,59.24
180.86154532432556,823,1994,2904,3085,3341,5389,6495,6716,6748,1019,21.28,70.31,59.22
181.88501000404358,828,2007,2923,3106,3355,5417,6531,6753,6785,1041,21.29,70.32,59.21
182.89394855499268,833,2024,2949,3134,3367,5445,6570,6794,6827,1050,21.30,70.34,59.19
183.91717290878296,836,2033,2963,3149,3380,5469,6599,6825,6858,1026,21.31,70.36,59.15
184.94058918952942,840,2041,2974,3160,3399,5495,6629,6856,6889,1021,21.32,70.37,59.14
185.9497196674347,843,2056,2999,3187,3396,5508,6654,6883,6916,1063,21.32,70.37,59.14
186.97295451164246,846,2060,3004,3193,3409,5526,6673,6902,6935,1045,21.32,70.38,59.14
187.99632620811462,848,2062,3005,3194,3426,5544,6692,6920,6954,1050,21.32,70.38,59.13
189.0054223537445,851,2066,3010,3199,3446,5568,6716,6945,6979,1027,21.32,70.37,59.13
190.02860188484192,854,2062,3001,3188,3478,5595,6737,6965,6998,997,21.31,70.36,59.14
191.0519871711731,856,2066,3006,3194,3493,5615,6758,6986,7019,1027,21.31,70.36,59.15
192.06108117103577,862,2074,3016,3204,3526,5656,6801,7029,7062,1029,21.32,70.38,59.13
193.08430552482605,864,2088,3038,3228,3518,5662,6818,7048,7082,1062,21.32,70.38,59.12
194.1077709197998,866,2108,3072,3265,3498,5663,6836,7070,7104,1078,21.32,70.38,59.12
195.1313636302948,868,2117,3087,3282,3495,5670,6850,7086,7120,1041,21.33,70.39,59.12
196.14062309265137,870,2121,3092,3287,3506,5684,6866,7101,7136,1031,21.34,70.41,59.09
197.163804769516,872,2120,3089,3283,3527,5704,6883,7118,7152,1028,21.35,70.42,59.07
198.18716740608215,874,2120,3087,3281,3543,5720,6897,7131,7166,1022,21.35,70.43,59.08
199.19611287117004,876,2130,3105,3300,3538,5726,6911,7148,7182,1059,21.36,70.44,59.06
200.2193157672882,877,2137,3115,3310,3540,5735,6924,7162,7196,1061,21.37,70.47,59.03
201.24271440505981,879,2137,3114,3309,3556,5751,6939,7176,7211,1035,21.39,70.50,58.98
202.2662434577942,881,2138,3113,3308,3573,5768,6955,7191,7226,1013,21.39,70.50,58.98
203.27546167373657,883,2142,3120,3316,3583,5783,6972,7209,7244,1039,21.38,70.49,58.99
204.29862594604492,886,2156,3143,3340,3574,5789,6989,7228,7263,1058,21.37,70.47,59.00
205.3219883441925,888,2158,3145,3342,3588,5805,7005,7245,7280,1025,21.36,70.45,59.02
206.34568691253662,890,2161,3148,3346,3602,5821,7022,7262,7296,1030,21.35,70.43,59.04
207.37078070640564,892,2168,3159,3357,3612,5838,7043,7284,7319,1033,21.34,70.41,59.08
208.3941695690155,895,2173,3165,3364,3624,5855,7062,7303,7338,1029,21.32,70.38,59.12
209.41754126548767,898,2174,3164,3362,3650,5883,7087,7328,7363,1022,21.31,70.36,59.15
210.44094061851501,902,2185,3181,3380,3665,5909,7121,7362,7397,1049,21.31,70.35,59.16
211.45001029968262,906,2203,3210,3412,3662,5925,7150,7395,7430,1068,21.30,70.33,59.19
212.47324395179749,909,2218,3236,3439,3658,5937,7174,7421,7456,1075,21.29,70.32,59.22
213.4967246055603,911,2213,3225,3427,3690,5963,7193,7438,7474,1019,21.29,70.31,59.24
214.52021479606628,914,2215,3226,3428,3705,5980,7210,7455,7491,1041,21.29,70.32,59.22
215.52924013137817,916,2216,3225,3427,3726,6001,7229,7474,7510,1029,21.30,70.34,59.22
216.55235838890076,919,2224,3237,3439,3739,6023,7255,7501,7537,1038,21.30,70.35,59.21
217.57592916488647,924,2228,3241,3444,3771,6059,7291,7537,7573,993,21.30,70.35,59.21
218.59932279586792,930,2239,3255,3458,3808,6107,7343,7590,7626,1010,21.30,70.34,59.22
219.60845232009888,937,2249,3267,3471,3849,6158,7397,7644,7680,1007,21.30,70.34,59.22
220.63163018226624,942,2253,3271,3475,3884,6198,7436,7683,7719,1011,21.29,70.32,59.26
221.654949426651,946,2268,3293,3498,3894,6222,7470,7719,7755,1038,21.28,70.31,59.28
222.678551197052,951,2269,3293,3497,3931,6260,7505,7754,7790,1009,21.28,70.31,59.29
223.6876232624054,956,2279,3306,3511,3956,6295,7545,7794,7830,1013,21.28,70.30,59.29
224.71073627471924,962,2298,3334,3541,3977,6336,7597,7849,7886,1025,21.28,70.30,59.31
225.73407888412476,968,2313,3357,3566,3996,6370,7641,7894,7931,1038,21.27,70.29,59.33
226.7574851512909,973,2328,3379,3589,4012,6401,7680,7935,7972,1039,21.26,70.28,59.35
227.76666855812073,978,2333,3384,3594,4050,6445,7724,7979,8017,1005,21.26,70.27,59.36
228.78985214233398,985,2350,3409,3621,4078,6491,7779,8036,8074,1020,21.26,70.26,59.37
229.8131947517395,994,2367,3431,3644,4122,6552,7847,8106,8143,1008,21.26,70.26,59.39
230.83677005767822,1000,2367,3428,3640,4174,6603,7894,8151,8189,983,21.25,70.25,59.39
231.84573936462402,1010,2374,3431,3642,4251,6686,7973,8230,8267,993,21.25,70.25,59.41
232.86887168884277,1016,2384,3444,3656,4289,6735,8026,8284,8321,999,21.24,70.23,59.43
233.89227199554443,1022,2410,3485,3701,4284,6756,8066,8327,8366,1057,21.23,70.22,59.46
234.91633915901184,1026,2420,3500,3716,4300,6783,8099,8361,8399,1014,21.23,70.21,59.48
235.93973636627197,1029,2430,3515,3732,4315,6808,8129,8392,8431,1029,21.23,70.22,59.48
236.96323800086975,1034,2440,3530,3748,4331,6835,8162,8427,8465,1027,21.24,70.23,59.46
237.98694562911987,1037,2450,3545,3764,4342,6857,8190,8456,8495,1034,21.24,70.23,59.46
238.9962294101715,1040,2458,3556,3776,4353,6875,8213,8480,8519,1036,21.25,70.24,59.46
240.01954317092896,1043,2470,3577,3798,4355,6890,8237,8506,8545,1029,21.25,70.26,59.45
241.04293155670166,1046,2473,3578,3800,4376,6914,8260,8529,8568,1018,21.27,70.28,59.41
242.06646847724915,1049,2483,3595,3817,4383,6931,8285,8555,8594,1043,21.28,70.30,59.39
243.09000301361084,1054,2505,3631,3856,4379,6950,8320,8593,8633,1065,21.28,70.31,59.36
244.11355113983154,1058,2525,3662,3889,4380,6971,8355,8631,8672,1050,21.28,70.31,59.36
245.1227741241455,1061,2530,3669,3897,4396,6993,8379,8655,8696,1014,21.28,70.31,59.36
246.14593601226807,1063,2532,3671,3899,4409,7008,8394,8671,8711,1028,21.29,70.32,59.34
247.16931891441345,1066,2531,3667,3894,4436,7034,8417,8693,8733,1018,21.29,70.33,59.34
248.19277548789978,1068,2530,3663,3889,4458,7054,8433,8708,8748,1020,21.29,70.32,59.33
249.21632647514343,1069,2522,3648,3874,4485,7073,8444,8718,8758,1000,21.29,70.32,59.33
250.2254512310028,1071,2526,3653,3879,4490,7081,8454,8728,8768,1023,21.28,70.30,59.36
251.2486274242401,1072,2533,3665,3892,4483,7082,8461,8736,8776,1030,21.28,70.30,59.36
252.27196311950684,1073,2542,3681,3909,4474,7083,8470,8746,8786,1039,21.28,70.31,59.36
253.29562306404114,1073,2540,3677,3904,4485,7092,8476,8752,8792,998,21.29,70.32,59.34
254.31912398338318,1075,2544,3683,3911,4490,7101,8488,8764,8805,1020,21.29,70.32,59.34
255.32829070091248,1076,2544,3682,3910,4500,7110,8496,8772,8812,1002,21.28,70.31,59.35
256.3515958786011,1077,2550,3693,3921,4496,7113,8504,8781,8821,1025,21.28,70.30,59.35
257.3749189376831,1078,2552,3695,3924,4498,7117,8509,8786,8826,1041,21.27,70.29,59.38
258.3983483314514,1078,2558,3706,3935,4490,7115,8512,8791,8831,1037,21.26,70.27,59.41
259.42185616493225,1079,2560,3709,3939,4491,7118,8517,8796,8836,1026,21.25,70.25,59.43
260.430939912796,1079,2564,3716,3947,4485,7118,8520,8799,8840,1032,21.25,70.25,59.43
261.4541392326355,1080,2578,3741,3973,4464,7110,8525,8807,8848,1055,21.25,70.25,59.45
262.477499961853,1081,2581,3745,3978,4466,7116,8532,8815,8856,1010,21.25,70.24,59.46
263.5008764266968,1082,2585,3751,3984,4468,7121,8540,8823,8865,1017,21.24,70.23,59.48
264.5098919868469,1083,2586,3751,3984,4476,7130,8549,8832,8873,1021,21.23,70.21,59.49
265.53311562538147,1083,2579,3739,3971,4492,7139,8551,8832,8873,1004,21.23,70.21,59.50
266.55655813217163,1083,2573,3729,3960,4502,7143,8550,8831,8872,1012,21.22,70.20,59.53
267.5799798965454,1083,2560,3705,3935,4529,7157,8551,8829,8870,977,21.22,70.19,59.53
268.6035351753235,1083,2552,3691,3919,4547,7166,8553,8829,8869,988,21.21,70.18,59.55
269.61262559890747,1084,2560,3705,3934,4534,7162,8556,8833,8874,1030,21.21,70.18,59.56
270.6357569694519,1084,2550,3685,3912,4560,7176,8559,8835,8875,997,21.20,70.16,59.59
271.65905690193176,1085,2543,3673,3899,4580,7190,8566,8840,8880,997,21.19,70.15,59.61
272.68249011039734,1086,2550,3684,3911,4581,7198,8579,8854,8894,1032,21.19,70.13,59.63
273.70609188079834,1087,2558,3698,3926,4572,7197,8585,8861,8902,1034,21.18,70.13,59.64
274.7298243045807,1088,2550,3684,3910,4596,7212,8592,8867,8907,980,21.18,70.13,59.65
275.7389922142029,1089,2544,3672,3898,4613,7223,8597,8871,8911,989,21.19,70.14,59.64
276.76211619377136,1089,2531,3648,3871,4643,7239,8600,8871,8911,979,21.20,70.15,59.63
277.7854301929474,1089,2515,3618,3839,4679,7258,8602,8870,8909,963,21.20,70.16,59.62
278.80890822410583,1089,2505,3600,3819,4701,7270,8604,8870,8909,980,21.21,70.17,59.61
279.8179552555084,1089,2490,3573,3790,4731,7284,8605,8868,8906,961,21.21,70.18,59.59
280.84111189842224,1089,2488,3570,3787,4734,7284,8603,8866,8905,990,21.22,70.19,59.57
281.8643741607666,1089,2487,3568,3784,4737,7286,8604,8867,8905,981,21.22,70.20,59.57
282.8880281448364,1089,2490,3574,3790,4734,7287,8607,8871,8909,998,21.22,70.20,59.58
283.9115092754364,1091,2500,3589,3807,4727,7290,8618,8883,8922,1011,21.22,70.20,59.57
284.93545937538147,1092,2518,3622,3843,4700,7282,8627,8895,8934,1033,21.22,70.20,59.56
285.9589283466339,1093,2526,3634,3856,4696,7287,8637,8906,8946,1015,21.22,70.20,59.57
286.96816182136536,1095,2528,3637,3859,4704,7296,8648,8917,8956,1006,21.22,70.20,59.57
287.99128222465515,1096,2534,3646,3869,4703,7301,8657,8927,8967,1012,21.22,70.19,59.59
289.0145468711853,1098,2541,3659,3882,4701,7308,8669,8941,8980,1009,21.21,70.17,59.61
290.03840160369873,1099,2547,3668,3892,4704,7316,8682,8954,8994,1012,21.20,70.17,59.62
291.06202840805054,1101,2556,3682,3907,4702,7323,8696,8969,9009,1022,21.20,70.16,59.63
292.0856807231903,1103,2569,3704,3931,4693,7328,8711,8987,9027,1021,21.20,70.16,59.64
293.1093156337738,1105,2576,3716,3944,4695,7338,8726,9003,9043,1008,21.19,70.15,59.67
294.11830615997314,1107,2586,3732,3961,4695,7348,8743,9021,9062,1009,21.19,70.14,59.67
295.14151644706726,1109,2596,3747,3977,4697,7360,8762,9042,9082,1014,21.18,70.13,59.69
296.164754152298,1111,2601,3755,3986,4703,7372,8777,9058,9098,1009,21.18,70.12,59.70
297.18824005126953,1114,2606,3762,3993,4717,7391,8798,9079,9120,1004,21.17,70.11,59.73
298.2119309902191,1117,2610,3767,3998,4734,7412,8821,9102,9143,1017,21.17,70.10,59.73
299.2208421230316,1120,2609,3762,3993,4762,7438,8842,9123,9163,993,21.16,70.09,59.76
300.24390745162964,1122,2623,3786,4018,4758,7449,8865,9147,9188,1028,21.15,70.07,59.80
301.267213344574,1127,2635,3803,4036,4775,7478,8901,9184,9225,1011,21.14,70.06,59.83
