time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0247981548309326,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.144655704498291,0,0,0,0,0,0,0,0,0,1630,23.90,75.02,39.13
3.168119430541992,2,7,11,12,7,15,19,20,20,851,23.89,75.01,39.14
4.191738843917847,2,7,11,12,7,14,19,20,20,851,23.89,75.01,39.15
5.215749263763428,2,2,2,2,16,19,19,19,19,501,23.89,75.00,39.15
6.239556789398193,2,4,6,6,12,17,19,19,19,600,23.88,74.99,39.17
7.263371706008911,2,5,6,7,12,16,19,19,19,647,23.88,74.98,39.18
8.287181615829468,2,4,6,6,12,16,18,19,19,609,23.87,74.97,39.19
9.311025619506836,2,4,6,6,12,16,18,18,19,653,23.87,74.97,39.19
10.33442497253418,2,4,5,6,12,16,18,18,18,653,23.87,74.96,39.20
11.358240365982056,2,4,6,6,11,16,17,18,18,682,23.87,74.96,39.21
12.382182598114014,2,4,6,6,11,15,17,17,17,682,23.86,74.96,39.21
13.406187057495117,2,4,5,6,11,15,16,17,17,682,23.86,74.95,39.22
14.429874420166016,2,4,5,6,10,14,16,16,16,709,23.86,74.95,39.21
15.453634023666382,2,4,5,6,9,13,15,15,16,709,23.86,74.95,39.23
16.462947368621826,2,3,4,4,11,14,15,15,15,691,23.86,74.94,39.23
17.486484050750732,7,14,19,20,37,51,57,58,59,844,23.85,74.93,39.24
18.509711742401123,17,41,59,62,72,114,136,141,141,1002,23.85,74.93,39.24
19.533241033554077,29,68,98,104,119,188,225,233,234,1021,23.85,74.93,39.26
20.558493614196777,37,89,129,137,151,243,292,301,303,1050,23.84,74.92,39.28
21.5819194316864,45,112,164,174,178,293,356,369,371,1059,23.84,74.91,39.29
22.60547423362732,60,148,217,231,234,386,470,486,489,1054,23.83,74.90,39.30
23.62908935546875,75,187,274,291,295,487,592,614,617,1040,23.83,74.89,39.31
24.652896642684937,91,225,329,350,358,589,715,741,744,1024,23.82,74.88,39.32
25.676472902297974,104,258,377,401,411,675,821,850,854,1043,23.82,74.87,39.33
26.700279712677002,116,287,420,446,462,757,919,951,956,1038,23.82,74.87,39.34
27.709617376327515,127,312,455,484,507,827,1002,1037,1042,1048,23.82,74.87,39.35
28.733022689819336,144,353,516,548,578,942,1139,1179,1184,1055,23.81,74.86,39.37
29.756320238113403,164,401,585,622,657,1069,1293,1337,1344,1058,23.81,74.85,39.38
